1	One dwelling unit per specified minimum square footage of lot area as determined in accordance with Section 113.0222.
2	See Section 131.0543(a)(2).
3	Within the Kearny Mesa Community Plan area, the maximum floor area ratio is 0.50 and the portion of the maximum allowed gross floor area that may be occupied by retail sales or eating and drinking establishments shall not exceed 70 percent.
4	Within the Otay Mesa Community Plan area, the maximum floor area ratio is 0.30.
5	Placemaking on private property shall not be subject to setback regulations, in accordance with Section 141.0421.
